Credit Starting Balance,Email,Address,Identification Number,Last Name,Credit Account Number,Checking Starting Balance,Password,Savings Account Number,Credit Max,First Name,Checking Account Number,Date of Birth,Phone Number,Savings Starting Balance
-407.87,ChipDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",6,Disney,3005,471.00,Chip*Disney!987,2005,8289,Chip,1005,"July 10, 1955",(714) 781-4636,4169.71
-268.49,GoofyDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",4,Disney,3003,269.29,Goofy*Disney!987,2003,5775,Goofy,1003,"May 6, 1957",(714) 781-4636,3653.91
-1700.40,DanielF@disney.com,"500 W. University Ave, El Paso, TX 79968",43,F,3067,514.42,Daniel*F!987,2067,4999,Daniel,1067,"May 7, 1949",(915) 747-5000,1247.00
-639.49,DonaldDuck@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",2,Duck,3001,216.10,Donald*Duck!987,2001,4887,Donald,1001,"November 18, 2009",(714) 781-4636,2334.79
-67.97,KaaDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",28,Disney,3027,1128.38,Kaa*Disney!987,2027,7737,Kaa,1027,"June 2, 2003",(714) 781-4636,1629.63
-79.11,DanielS@disney.com,"500 W. University Ave, El Paso, TX 79968",55,S,3079,672.36,Daniel*S!987,2079,8207,Daniel,1079,"September 18, 1981",(915) 747-5000,4874.16
-1537.85,MufassaDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",13,Disney,3012,594.29,Mufassa*Disney!987,2012,9876,Mufassa,1012,"December 5, 1950",(714) 781-4636,1144.45
-816.59,DavidMorales@disney.com,"531 W. University Ave, El Paso, TX 79968",91,Morales,3049,1671.42,David*Morales!987,2049,7371,David,1049,"September 20, 1972",(915) 747-5031,3047.46
-1098.13,AlejandroBlanco@disney.com,"522 W. University Ave, El Paso, TX 79968",82,Blanco,3040,1243.35,Alejandro*Blanco!987,2040,3153,Alejandro,1040,"March 20, 2006",(915) 747-5022,1689.46
-815.15,DanielY@disney.com,"501 W. University Ave, El Paso, TX 79968",61,Y,3085,1234.67,Daniel*Y!987,2085,4748,Daniel,1085,"June 22, 1999",(915) 747-5001,4514.21
-1081.89,AlejandroRamirez@disney.com,"534 W. University Ave, El Paso, TX 79968",94,Ramirez,3052,1515.13,Alejandro*Ramirez!987,2052,7674,Alejandro,1052,"May 12, 1997",(915) 747-5034,382.84
-673.82,CruellaDe Vil@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",22,De Vil,3021,175.69,Cruella*De Vil!987,2021,5570,Cruella,1021,"August 16, 1936",(714) 781-4636,1592.70
-1115.64,PigletPooh@disney.com,"510 W. University Ave, El Paso, TX 79968",70,Pooh,3094,91.97,Piglet*Pooh!987,2094,7951,Piglet,1094,"June 18, 1983",(915) 747-5010,3877.58
-1892.04,GermanViezcas@disney.com,"541 W. University Ave, El Paso, TX 79968",101,Viezcas,3059,1872.62,German*Viezcas!987,2059,6254,German,1059,"January 26, 1974",(915) 747-5041,2978.34
-1470.23,ShereKhan@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",26,Khan,3025,1158.11,Shere*Khan!987,2025,4932,Shere,1025,"June 10, 1945",(714) 781-4636,4104.73
-1398.08,DanielV@disney.com,"500 W. University Ave, El Paso, TX 79968",58,V,3082,927.87,Daniel*V!987,2082,8556,Daniel,1082,"May 5, 1951",(915) 747-5000,939.27
-1892.56,EliasRoybal@disney.com,"538 W. University Ave, El Paso, TX 79968",98,Roybal,3056,864.85,Elias*Roybal!987,2056,9505,Elias,1056,"December 11, 2018",(915) 747-5038,1306.80
