First Name,Last Name,Date of Birth,Identification Number,Address,Phone Number,Checking Account Number,Savings Account Number,Credit Account Number,Checking Starting Balance,Savings Starting Balance,Credit Starting Balance,Email,Password,Credit Max
Chip,Disney,"July 10, 1955",6,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1005,2005,3005,521.99,4094.71,-407.87,ChipDisney@disney.com,Chip*Disney!987,8289.0
Goofy,Disney,"May 6, 1957",4,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1003,2003,3003,284.92,3572.91,-268.49,GoofyDisney@disney.com,Goofy*Disney!987,5775.0
Daniel,F,"May 7, 1949",43,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1067,2067,3067,514.42,1247.0,-1700.4,DanielF@disney.com,Daniel*F!987,4999.0
Donald,Duck,"November 18, 2009",2,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1001,2001,3001,164.56,2243.79,-639.49,DonaldDuck@disney.com,Donald*Duck!987,4887.0
Kaa,Disney,"June 2, 2003",28,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1027,2027,3027,1140.21,1629.63,-67.97,KaaDisney@disney.com,Kaa*Disney!987,7737.0
Daniel,S,"September 18, 1981",55,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1079,2079,3079,672.36,4874.16,-79.11,DanielS@disney.com,Daniel*S!987,8207.0
Mufassa,Disney,"December 5, 1950",13,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1012,2012,3012,627.8299999999999,1077.45,-1537.85,MufassaDisney@disney.com,Mufassa*Disney!987,9876.0
David,Morales,"September 20, 1972",91,"531 W. University Ave, El Paso, TX 79968",(915) 747-5031,1049,2049,3049,6630.22,3047.46,-816.59,DavidMorales@disney.com,David*Morales!987,7371.0
Alejandro,Blanco,"March 20, 2006",82,"522 W. University Ave, El Paso, TX 79968",(915) 747-5022,1040,2040,3040,6214.54,1689.46,-1098.13,AlejandroBlanco@disney.com,Alejandro*Blanco!987,3153.0
Daniel,Y,"June 22, 1999",61,"501 W. University Ave, El Paso, TX 79968",(915) 747-5001,1085,2085,3085,1234.67,4514.21,-815.15,DanielY@disney.com,Daniel*Y!987,4748.0
Alejandro,Ramirez,"May 12, 1997",94,"534 W. University Ave, El Paso, TX 79968",(915) 747-5034,1052,2052,3052,6489.55,382.84,-1081.89,AlejandroRamirez@disney.com,Alejandro*Ramirez!987,7674.0
Cruella,De Vil,"August 16, 1936",22,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1021,2021,3021,210.39,1592.7,-673.82,CruellaDe Vil@disney.com,Cruella*De Vil!987,5570.0
Piglet,Pooh,"June 18, 1983",70,"510 W. University Ave, El Paso, TX 79968",(915) 747-5010,1094,2094,3094,91.97,3877.58,-1115.64,PigletPooh@disney.com,Piglet*Pooh!987,7951.0
German,Viezcas,"January 26, 1974",101,"541 W. University Ave, El Paso, TX 79968",(915) 747-5041,1059,2059,3059,6825.74,2978.34,-1892.04,GermanViezcas@disney.com,German*Viezcas!987,6254.0
Shere,Khan,"June 10, 1945",26,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1025,2025,3025,1199.31,4104.73,-1470.23,ShereKhan@disney.com,Shere*Khan!987,4932.0
Daniel,V,"May 5, 1951",58,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1082,2082,3082,927.87,939.27,-1398.08,DanielV@disney.com,Daniel*V!987,8556.0
Elias,Roybal,"December 11, 2018",98,"538 W. University Ave, El Paso, TX 79968",(915) 747-5038,1056,2056,3056,5846.88,1306.8,-1892.56,EliasRoybal@disney.com,Elias*Roybal!987,9505.0
Pete,Disney,"March 3, 1980",66,"506 W. University Ave, El Paso, TX 79968",(915) 747-5006,1090,2090,3090,899.26,4462.3,-552.28,PeteDisney@disney.com,Pete*Disney!987,9468.0
Pinocchio,Disney,"February 29, 1956",30,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1029,2029,3029,895.33,16.16,-1693.99,PinocchioDisney@disney.com,Pinocchio*Disney!987,5203.0
Winnie,Pooh,"November 30, 1946",68,"508 W. University Ave, El Paso, TX 79968",(915) 747-5008,1092,2092,3092,1714.29,4814.3,-1768.09,WinniePooh@disney.com,Winnie*Pooh!987,9499.0
Daniel,R,"March 6, 1999",54,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1078,2078,3078,108.21,4166.32,-1081.38,DanielR@disney.com,Daniel*R!987,6366.0
Iron,Man,"August 15, 1949",65,"505 W. University Ave, El Paso, TX 79968",(915) 747-5005,1089,2089,3089,1483.37,351.75,-1936.25,IronMan@disney.com,Iron*Man!987,3387.0
Cesar,Padron,"August 11, 1974",93,"533 W. University Ave, El Paso, TX 79968",(915) 747-5033,1051,2051,3051,6624.76,2965.56,-1014.92,CesarPadron@disney.com,Cesar*Padron!987,4803.0
Daniel,G,"October 31, 1989",44,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1068,2068,3068,1229.16,1257.49,-489.7,DanielG@disney.com,Daniel*G!987,4201.0
Daniel,W,"September 14, 1999",59,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1083,2083,3083,995.19,4393.64,-1466.14,DanielW@disney.com,Daniel*W!987,7161.0
